word_de,word_en,case,gender,definite
die,the,Nom,P,True
der,,Gen,P,True
den,the,Dat,P,True
die,the,Akk,P,True
,,Nom,P,False
,,Gen,P,False
,,Dat,P,False
,,Akk,P,False
das,the,Nom,N,True
des,,Gen,N,True
dem,the,Dat,N,True
das,the,Akk,N,True
ein,a,Nom,N,False
eines,,Gen,N,False
einem,a,Dat,N,False
ein,a,Akk,N,False
die,the,Nom,F,True
der,,Gen,F,True
der,the,Dat,F,True
die,the,Akk,F,True
eine,a,Nom,F,False
einer,,Gen,F,False
einer,a,Dat,F,False
eine,a,Akk,F,False
der,the,Nom,M,True
des,,Gen,M,True
dem,the,Dat,M,True
den,the,Akk,M,True
ein,a,Nom,M,False
eines,,Gen,M,False
einem,a,Dat,M,False
einen,a,Akk,M,False
